cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
325,20,Female,Abu Dhabi,Gold,Store,2022-03-27
326,20,Male,Abu Dhabi,Platinum,Store,2025-03-04
329,55,Male,Sharjah,Platinum,Website,2023-06-26
330,25,Male,Dubai,Silver,Website,2025-07-05
332,40,Male,Dubai,Silver,Amazon.ae,2025-09-21
336,35,Female,Dubai,Gold,Store,2025-07-18
338,60,Male,Abu Dhabi,Platinum,Website,2021-05-20
341,20,Male,Dubai,Silver,Website,2022-03-24
342,35,Male,Dubai,Silver,Store,2023-07-16
346,30,Female,Dubai,Gold,Website,2021-12-27
347,45,Female,Dubai,Gold,Website,2022-11-14
349,35,Male,Dubai,Silver,Store,2025-04-21
350,25,Male,Sharjah,Silver,Website,2022-10-04
352,25,Female,Dubai,Silver,Noon,2023-09-24
353,60,Female,Dubai,Silver,MobileApp,2025-05-04
354,18,Female,Sharjah,Silver,Website,2023-07-12
358,35,Female,Abu Dhabi,Platinum,Store,2025-03-22
360,45,Female,Dubai,Platinum,Store,2024-04-13
362,25,Male,Sharjah,Silver,Store,2025-03-13
363,25,Female,Abu Dhabi,Silver,Store,2024-05-12
367,35,Male,Abu Dhabi,Gold,Store,2024-12-10
369,35,Male,Dubai,Silver,Website,2021-03-23
370,20,Female,Abu Dhabi,Silver,Store,2025-02-15
371,35,Male,Dubai,Gold,Website,2021-05-28
378,30,Female,Dubai,Silver,Store,2022-12-24
380,45,Male,Dubai,Silver,Website,2023-10-28
382,30,Female,Dubai,Silver,MobileApp,2023-04-06
383,25,Female,Dubai,Silver,Website,2022-03-10
387,55,Male,Abu Dhabi,Silver,Store,2021-05-18
388,25,Male,Abu Dhabi,Silver,Website,2022-01-02
389,35,Male,Dubai,Gold,Website,2021-04-16
390,25,Female,Dubai,Silver,Store,2023-03-05
391,40,Female,Dubai,Silver,MobileApp,2023-11-22
392,20,Female,Sharjah,Gold,Store,2022-09-28
393,55,Male,Sharjah,Silver,Website,2025-09-02
394,30,Female,Dubai,Silver,Store,2023-09-14
395,20,Male,Dubai,Silver,MobileApp,2023-08-16
399,25,Female,Abu Dhabi,Silver,MobileApp,2021-03-19
400,40,Male,Dubai,Silver,Store,2025-04-19
404,35,Female,Abu Dhabi,Platinum,MobileApp,2023-01-07
410,30,Female,Abu Dhabi,Gold,Noon,2021-08-26
416,20,Male,Dubai,Gold,Store,2022-09-22
419,30,Male,Dubai,Silver,Store,2023-10-11
421,18,Male,Sharjah,Platinum,Store,2022-09-06
422,20,Female,Dubai,Gold,Noon,2023-06-11
427,18,Male,Sharjah,Silver,Website,2021-10-07
429,60,Male,Sharjah,Silver,Store,2024-05-20
430,55,Male,Dubai,Gold,MobileApp,2023-12-14
431,18,Female,Dubai,Silver,Store,2021-03-08
433,35,Male,Dubai,Silver,Website,2022-06-04
434,45,Female,Dubai,Silver,Store,2022-05-14
436,30,Female,Abu Dhabi,Gold,Amazon.ae,2024-12-25
437,30,Female,Sharjah,Gold,Website,2022-12-28
438,35,Male,Dubai,Silver,Store,2023-12-06
439,20,Female,Sharjah,Silver,Store,2025-06-04
440,18,Female,Abu Dhabi,Gold,Store,2023-11-25
442,35,Male,Sharjah,Gold,MobileApp,2024-01-18
449,45,Female,Dubai,Silver,Website,2024-04-10
450,20,Male,Sharjah,Platinum,Store,2024-09-24
452,40,Male,Dubai,Gold,Store,2023-06-13
454,35,Female,Sharjah,Silver,Store,2022-06-09
455,30,Female,Dubai,Gold,Amazon.ae,2021-06-23
458,30,Male,Dubai,Gold,MobileApp,2021-07-26
459,18,Female,Sharjah,Silver,Website,2024-09-28
462,35,Male,Dubai,Gold,Website,2025-07-24
471,55,Male,Dubai,Silver,Store,2024-07-07
472,25,Male,Abu Dhabi,Silver,Store,2023-08-22
474,40,Female,Sharjah,Silver,Store,2023-04-18
475,30,Female,Dubai,Silver,Store,2024-05-25
476,35,Female,Dubai,Silver,Store,2022-02-15
477,45,Female,Sharjah,Silver,Website,2025-05-02
479,25,Female,Abu Dhabi,Gold,Website,2024-02-15
483,40,Male,Dubai,Silver,Store,2021-06-04
485,40,Female,Abu Dhabi,Silver,Store,2025-03-11
488,18,Male,Abu Dhabi,Silver,MobileApp,2024-04-30
490,25,Male,Dubai,Gold,Amazon.ae,2023-01-25
491,25,Female,Dubai,Platinum,Website,2024-01-27
492,35,Male,Dubai,Silver,Store,2022-06-25
493,25,Male,Abu Dhabi,Platinum,MobileApp,2022-12-02
497,20,Male,Dubai,Silver,MobileApp,2024-03-24
498,18,Male,Abu Dhabi,Silver,Noon,2024-03-09
499,35,Female,Abu Dhabi,Silver,MobileApp,2023-07-02
501,35,Male,Dubai,Silver,Store,2021-09-13
502,30,Male,Dubai,Silver,Amazon.ae,2023-09-17
504,45,Female,Sharjah,Gold,Amazon.ae,2025-07-28
506,30,Male,Sharjah,Gold,Store,2022-02-20
510,25,Female,Sharjah,Silver,Store,2024-07-13
511,30,Female,Sharjah,Silver,Amazon.ae,2025-04-14
512,30,Female,Dubai,Silver,Website,2024-03-08
513,35,Female,Dubai,Silver,Website,2023-08-20
514,40,Female,Dubai,Silver,Store,2023-04-04
516,35,Female,Abu Dhabi,Silver,MobileApp,2025-03-16
517,55,Female,Sharjah,Gold,Store,2021-09-06
518,18,Female,Dubai,Silver,Store,2023-01-15
519,20,Male,Abu Dhabi,Gold,Website,2021-11-04
520,18,Male,Abu Dhabi,Silver,Website,2022-07-27
521,35,Female,Dubai,Silver,Store,2024-05-27
525,18,Male,Abu Dhabi,Silver,Store,2025-05-27
526,50,Male,Dubai,Gold,Noon,2021-10-20
527,25,Female,Dubai,Gold,Store,2022-02-14
529,30,Male,Abu Dhabi,Silver,Website,2021-03-21
530,25,Female,Abu Dhabi,Gold,Store,2024-11-09
531,25,Male,Dubai,Silver,Website,2021-05-17
535,25,Female,Sharjah,Gold,Store,2024-05-15
537,35,Female,Sharjah,Silver,Store,2024-03-02
538,25,Male,Dubai,Silver,Amazon.ae,2021-06-15
539,25,Male,Dubai,Silver,Store,2025-03-07
541,20,Female,Sharjah,Gold,Website,2024-04-18
542,35,Female,Abu Dhabi,Silver,Store,2021-05-01
543,20,Male,Abu Dhabi,Gold,Website,2024-04-12
545,35,Male,Sharjah,Silver,MobileApp,2023-12-28
546,20,Female,Dubai,Silver,Website,2025-09-19
549,55,Male,Dubai,Gold,Amazon.ae,2024-09-15
550,30,Male,Dubai,Silver,MobileApp,2024-06-15
551,40,Female,Abu Dhabi,Platinum,MobileApp,2025-04-03
553,18,Male,Abu Dhabi,Silver,Website,2024-03-20
555,55,Male,Dubai,Silver,Website,2025-08-16
558,45,Male,Abu Dhabi,Platinum,Store,2023-08-22
559,20,Female,Abu Dhabi,Platinum,Store,2023-04-25
562,25,Male,Sharjah,Silver,Store,2023-03-08
566,20,Male,Dubai,Gold,Store,2023-06-06
567,40,Male,Sharjah,Gold,Store,2025-06-26
568,25,Female,Dubai,Silver,Store,2021-08-08
571,35,Female,Dubai,Silver,Website,2022-11-12
574,30,Male,Abu Dhabi,Silver,Amazon.ae,2025-04-12
577,35,Male,Dubai,Gold,Website,2024-08-23
578,45,Female,Dubai,Gold,Store,2024-01-22
579,20,Male,Abu Dhabi,Silver,Noon,2025-05-26
580,18,Female,Dubai,Platinum,Website,2024-07-16
585,20,Female,Dubai,Gold,Amazon.ae,2021-04-24
586,25,Female,Dubai,Silver,Website,2024-04-23
587,30,Female,Sharjah,Gold,Store,2023-07-10
592,25,Male,Dubai,Silver,Website,2021-06-07
593,25,Male,Abu Dhabi,Silver,Website,2025-02-06
595,35,Male,Dubai,Silver,Website,2025-03-09
597,20,Male,Dubai,Gold,Website,2024-07-21
598,20,Female,Dubai,Silver,Website,2023-05-03
600,30,Male,Abu Dhabi,Silver,Amazon.ae,2023-06-05
602,18,Male,Dubai,Gold,Noon,2025-04-09
604,45,Female,Abu Dhabi,Gold,MobileApp,2022-02-05
605,20,Male,Dubai,Silver,Noon,2023-04-08
606,25,Female,Sharjah,Gold,Amazon.ae,2024-04-18
609,18,Male,Dubai,Silver,Store,2022-10-17
610,30,Male,Abu Dhabi,Silver,MobileApp,2023-04-25
611,18,Male,Dubai,Gold,Website,2023-07-13
613,20,Female,Dubai,Silver,Store,2025-06-05
615,45,Female,Sharjah,Silver,MobileApp,2022-10-11
616,35,Female,Dubai,Silver,Amazon.ae,2025-05-11
619,25,Male,Dubai,Silver,MobileApp,2025-01-22
620,35,Female,Abu Dhabi,Silver,Store,2023-09-17
622,35,Male,Dubai,Silver,Store,2021-05-08
623,30,Male,Sharjah,Silver,Store,2023-08-10
626,18,Male,Dubai,Gold,Store,2021-01-20
629,20,Female,Dubai,Silver,Website,2022-11-06
630,35,Male,Dubai,Silver,Store,2022-12-15
632,30,Female,Dubai,Gold,Amazon.ae,2024-02-27
634,30,Female,Dubai,Silver,Amazon.ae,2021-07-16
636,25,Male,Sharjah,Gold,MobileApp,2025-02-24
637,35,Female,Abu Dhabi,Silver,MobileApp,2022-11-09
638,40,Male,Sharjah,Silver,Store,2022-05-19
640,20,Male,Dubai,Silver,Store,2023-01-08
641,25,Female,Abu Dhabi,Gold,Store,2023-03-03
643,60,Male,Dubai,Silver,Amazon.ae,2024-10-02
644,50,Male,Dubai,Gold,Store,2021-07-16
646,40,Female,Sharjah,Silver,Website,2023-02-20
647,30,Male,Dubai,Gold,Store,2023-01-14
648,35,Female,Abu Dhabi,Silver,Website,2025-06-25
649,18,Male,Dubai,Silver,Store,2024-03-29
652,40,Female,Dubai,Silver,Store,2024-05-15
653,40,Female,Dubai,Silver,Amazon.ae,2024-08-29
655,18,Male,Dubai,Silver,Store,2023-07-15
657,25,Male,Dubai,Silver,Website,2021-11-23
658,25,Male,Dubai,Platinum,Store,2023-07-23
661,30,Male,Sharjah,Silver,Website,2022-10-28
662,25,Male,Sharjah,Silver,Store,2024-01-29
663,25,Male,Dubai,Silver,Noon,2024-06-15
665,35,Female,Sharjah,Gold,Store,2023-05-08
669,60,Female,Abu Dhabi,Silver,Store,2025-02-25
671,20,Male,Abu Dhabi,Gold,Amazon.ae,2022-07-29
672,50,Female,Sharjah,Platinum,Website,2024-01-02
676,45,Female,Dubai,Silver,Website,2024-08-20
677,45,Male,Dubai,Platinum,Website,2023-10-26
678,40,Male,Sharjah,Gold,Website,2025-05-31
679,40,Male,Dubai,Gold,Store,2023-03-14
681,18,Female,Dubai,Gold,Store,2022-02-04
682,25,Male,Abu Dhabi,Silver,Website,2022-08-18
685,25,Female,Dubai,Platinum,MobileApp,2024-02-05
686,55,Male,Dubai,Gold,MobileApp,2021-04-27
690,45,Male,Dubai,Silver,Store,2023-04-12
691,50,Male,Dubai,Silver,Store,2023-05-23
694,40,Male,Abu Dhabi,Silver,Store,2024-12-04
698,20,Female,Sharjah,Silver,Store,2021-10-24
699,25,Female,Dubai,Gold,Store,2022-09-09
701,18,Female,Dubai,Gold,Website,2023-12-25
703,55,Female,Sharjah,Gold,Store,2021-06-27
704,30,Male,Dubai,Silver,Amazon.ae,2023-10-29
705,55,Female,Dubai,Gold,Store,2024-03-28
706,25,Female,Dubai,Silver,Noon,2021-01-11
708,30,Male,Dubai,Silver,Store,2022-02-15
710,20,Female,Abu Dhabi,Silver,MobileApp,2022-08-30
711,35,Female,Sharjah,Platinum,Amazon.ae,2021-06-04
713,35,Female,Dubai,Gold,Website,2024-02-13
714,35,Female,Abu Dhabi,Silver,Amazon.ae,2024-11-03
718,30,Female,Dubai,Platinum,Store,2021-12-16
719,18,Female,Dubai,Platinum,MobileApp,2024-01-27
720,60,Male,Dubai,Platinum,Store,2023-08-01
721,18,Male,Dubai,Silver,Store,2021-01-19
722,35,Male,Abu Dhabi,Silver,Website,2021-11-09
723,60,Male,Dubai,Silver,Store,2023-07-16
724,20,Male,Dubai,Silver,Website,2022-06-12
725,20,Female,Dubai,Silver,Website,2022-07-11
728,20,Male,Abu Dhabi,Gold,MobileApp,2021-08-19
729,35,Female,Abu Dhabi,Gold,Store,2025-08-20
732,60,Male,Abu Dhabi,Silver,Amazon.ae,2023-06-08
734,35,Female,Dubai,Silver,Store,2024-11-07
735,25,Male,Abu Dhabi,Silver,MobileApp,2025-03-16
737,30,Female,Dubai,Silver,Website,2024-10-20
738,25,Male,Dubai,Gold,Noon,2023-05-27
739,20,Male,Dubai,Gold,Website,2025-07-04
743,25,Male,Abu Dhabi,Gold,Store,2023-06-21
744,25,Female,Dubai,Silver,Store,2024-07-12
745,40,Male,Dubai,Silver,Store,2021-09-28
748,18,Female,Sharjah,Platinum,Website,2024-08-30
749,25,Male,Sharjah,Silver,Store,2024-11-11
750,30,Female,Dubai,Silver,Noon,2021-09-04
751,18,Female,Dubai,Gold,Store,2023-08-06
752,25,Male,Dubai,Silver,Store,2025-05-10
762,30,Female,Sharjah,Gold,MobileApp,2025-06-28
764,30,Male,Abu Dhabi,Silver,Store,2021-08-28
765,30,Male,Abu Dhabi,Silver,Noon,2021-11-07
766,40,Male,Dubai,Platinum,Store,2024-12-10
767,18,Male,Abu Dhabi,Silver,Website,2022-02-02
769,20,Female,Dubai,Gold,Website,2023-03-03
772,30,Male,Dubai,Silver,MobileApp,2023-03-24
773,25,Female,Dubai,Gold,Store,2023-06-23
776,40,Female,Dubai,Gold,Noon,2023-04-12
777,45,Female,Dubai,Gold,MobileApp,2024-10-08
778,55,Male,Dubai,Gold,Store,2024-10-26
781,35,Female,Dubai,Gold,Noon,2021-06-09
784,40,Male,Abu Dhabi,Silver,Store,2023-03-24
787,30,Male,Abu Dhabi,Silver,Noon,2024-10-07
788,35,Male,Abu Dhabi,Silver,Amazon.ae,2021-06-29
789,35,Female,Abu Dhabi,Silver,MobileApp,2025-02-04
794,30,Female,Abu Dhabi,Platinum,Store,2022-06-14
795,20,Female,Sharjah,Silver,Website,2024-11-19
804,18,Male,Dubai,Platinum,Store,2021-07-08
806,35,Male,Dubai,Gold,Store,2024-05-07
808,25,Male,Sharjah,Gold,Amazon.ae,2022-04-24
810,40,Female,Dubai,Platinum,Store,2023-10-12
811,35,Female,Abu Dhabi,Silver,Store,2024-06-01
815,35,Female,Sharjah,Gold,Store,2025-03-21
816,40,Male,Sharjah,Gold,Store,2023-07-05
818,18,Female,Dubai,Silver,Store,2023-05-19
819,18,Male,Dubai,Silver,Website,2024-02-12
820,55,Male,Abu Dhabi,Silver,Website,2025-03-20
821,25,Male,Abu Dhabi,Silver,Store,2024-04-22
822,40,Female,Dubai,Silver,Website,2025-10-15
823,35,Female,Abu Dhabi,Silver,Noon,2023-01-29
825,20,Male,Sharjah,Silver,Store,2021-10-23
826,20,Male,Abu Dhabi,Silver,MobileApp,2022-03-29
830,30,Female,Dubai,Silver,Store,2024-02-25
833,40,Female,Dubai,Silver,MobileApp,2021-05-08
835,55,Female,Dubai,Silver,Store,2025-09-06
838,35,Female,Sharjah,Gold,Noon,2025-07-08
840,35,Male,Dubai,Silver,Noon,2025-03-28
841,20,Male,Abu Dhabi,Silver,Website,2022-04-08
842,25,Female,Abu Dhabi,Gold,Store,2024-06-21
843,50,Male,Dubai,Silver,Store,2022-07-18
844,20,Female,Dubai,Gold,Website,2024-04-24
845,25,Female,Dubai,Platinum,Store,2024-06-10
847,25,Male,Sharjah,Gold,Website,2021-01-01
848,35,Male,Abu Dhabi,Gold,Store,2024-06-16
850,20,Male,Dubai,Gold,Amazon.ae,2025-02-27
851,20,Male,Sharjah,Gold,Store,2025-10-22
852,20,Male,Sharjah,Gold,Website,2025-06-28
854,35,Male,Sharjah,Silver,Website,2025-01-11
858,40,Female,Abu Dhabi,Platinum,Store,2024-07-24
859,50,Male,Abu Dhabi,Gold,MobileApp,2023-10-31
861,40,Female,Abu Dhabi,Gold,Store,2024-02-02
862,30,Male,Dubai,Silver,MobileApp,2021-12-11
864,35,Female,Abu Dhabi,Silver,Store,2023-09-04
865,40,Male,Sharjah,Silver,Website,2023-06-02
866,35,Female,Dubai,Silver,Website,2021-07-17
867,20,Female,Sharjah,Silver,Website,2023-11-04
868,30,Male,Sharjah,Silver,Amazon.ae,2025-08-31
870,50,Male,Dubai,Gold,Noon,2024-09-23
873,20,Female,Abu Dhabi,Silver,Website,2025-03-30
877,30,Female,Dubai,Silver,Website,2022-02-05
879,35,Female,Sharjah,Silver,Website,2022-04-27
881,30,Male,Sharjah,Silver,Website,2023-10-16
883,25,Female,Abu Dhabi,Silver,Noon,2021-11-05
889,20,Female,Abu Dhabi,Silver,Store,2022-06-18
890,30,Female,Dubai,Silver,Store,2022-02-26
893,35,Male,Abu Dhabi,Silver,Amazon.ae,2023-08-20
894,60,Male,Dubai,Silver,Store,2023-03-24
895,18,Male,Abu Dhabi,Gold,Noon,2023-06-06
897,40,Female,Dubai,Silver,Noon,2023-01-18
903,25,Male,Abu Dhabi,Platinum,Store,2023-12-05
905,30,Male,Dubai,Silver,Website,2025-08-27
907,40,Male,Abu Dhabi,Silver,Amazon.ae,2022-11-12
915,25,Male,Sharjah,Platinum,Website,2023-07-30
919,25,Male,Sharjah,Silver,Website,2024-06-17
920,35,Male,Sharjah,Silver,Store,2021-11-07
922,30,Female,Sharjah,Silver,Amazon.ae,2022-11-13
923,25,Female,Dubai,Platinum,MobileApp,2024-07-05
927,35,Male,Dubai,Gold,Website,2021-05-09
929,40,Female,Dubai,Silver,MobileApp,2021-11-22
931,30,Male,Dubai,Silver,Store,2021-01-17
932,30,Female,Dubai,Silver,Amazon.ae,2022-11-30
933,35,Female,Dubai,Silver,Website,2023-10-06
934,18,Female,Dubai,Gold,Store,2021-12-08
